Num Training Samples 38
Num Val Samples 13
Checkpoint is None, starting a fresh model
Epoch [76/100], Training Loss: 0.0121, Training Dice: 0.9694
Epoch [77/100], Training Loss: 0.0122, Training Dice: 0.9691
Epoch [78/100], Training Loss: 0.0118, Training Dice: 0.9703
Epoch [79/100], Training Loss: 0.0118, Training Dice: 0.9703
Epoch [80/100], Training Loss: 0.0124, Training Dice: 0.9683
Epoch [80/100], Validation Loss: 0.0179, Validation Dice: 0.9505
Epoch [81/100], Training Loss: 0.0118, Training Dice: 0.9701
Epoch [82/100], Training Loss: 0.0116, Training Dice: 0.9708
Epoch [83/100], Training Loss: 0.0121, Training Dice: 0.9694
Epoch [84/100], Training Loss: 0.0113, Training Dice: 0.9716
Epoch [85/100], Training Loss: 0.0115, Training Dice: 0.9712
Epoch [86/100], Training Loss: 0.0114, Training Dice: 0.9711
Epoch [87/100], Training Loss: 0.0116, Training Dice: 0.9704
Epoch [88/100], Training Loss: 0.0118, Training Dice: 0.9697
Epoch [89/100], Training Loss: 0.0111, Training Dice: 0.9723
Epoch [90/100], Training Loss: 0.0110, Training Dice: 0.9724
Epoch [90/100], Validation Loss: 0.0164, Validation Dice: 0.9566
Epoch [91/100], Training Loss: 0.0112, Training Dice: 0.9715
Epoch [92/100], Training Loss: 0.0110, Training Dice: 0.9722
Epoch [93/100], Training Loss: 0.0108, Training Dice: 0.9732
Epoch [94/100], Training Loss: 0.0108, Training Dice: 0.9728
Epoch [95/100], Training Loss: 0.0108, Training Dice: 0.9730
Epoch [96/100], Training Loss: 0.0106, Training Dice: 0.9734
Epoch [97/100], Training Loss: 0.0104, Training Dice: 0.9739
Epoch [98/100], Training Loss: 0.0105, Training Dice: 0.9736
Epoch [99/100], Training Loss: 0.0108, Training Dice: 0.9726
Epoch [100/100], Training Loss: 0.0108, Training Dice: 0.9731
Epoch [100/100], Validation Loss: 0.0163, Validation Dice: 0.9561
Model weights saved to /home/chetan/Desktop/Acads/CS231n/Project/Video-Segmentation-for-Autonomous-Manipulation/UNet/Saved Models/test.pth
Entering Debug Mode inside predict_single_image()
0.013018131256103516
